"","LONGITUDE","LATITUDE","FLOOR"
"1",-7331.74799999967,4864767.318,"3"
"2",-7331.40049999952,4864768.4786,"3"
"3",-7327.49216509238,4864766.66853056,"3"
"4",-7336.70039999858,4864764.4788,"3"
"5",-7337.39479999989,4864763.227,"3"
"6",-7340.52459999919,4864757.5859,"3"
"7",-7341.21499999985,4864756.3415,"3"
"8",-7339.15388717502,4864749.38469046,"3"
"9",-7337.23213905096,4864752.84884035,"3"
"10",-7344.96840000153,4864749.576,"3"
"11",-7344.21139999852,4864750.94,"3"
"12",-7344.96840000153,4864749.576,"3"
"13",-7347.10830000043,4864748.0456,"3"
"14",-7407.37959999964,4864799.6941,"3"
"15",-7408.28842738271,4864803.46471681,"3"
"16",-7410.32899999991,4864800.0056,"3"
"17",-7408.28842738271,4864803.46471681,"3"
"18",-7413.15480000153,4864789.2367,"3"
"19",-7411.25070000067,4864792.7679,"3"
"20",-7413.95529999956,4864787.7943,"3"
"21",-7405.10090000182,4864789.7755,"3"
"22",-7413.92139999941,4864785.0334,"3"
"23",-7403.73600000143,4864789.0184,"3"
"24",-7398.11080000177,4864785.8973,"3"
"25",-7406.06309999898,4864788.2193,"3"
"26",-7404.70549999923,4864787.4662,"3"
"27",-7399.10970000178,4864784.3617,"3"
"28",-7398.55870603025,4864779.87839587,"3"
"29",-7397.85979999974,4864783.6682,"3"
"30",-7396.89609999955,4864785.2235,"3"
"31",-7415.16300353035,4864796.08448222,"3"
"32",-7395.10070769489,4864777.95992858,"3"
"33",-7392.35700000077,4864780.6156,"3"
"34",-7390.09580000117,4864781.4506,"3"
"35",-7391.35909999907,4864782.1517,"3"
"36",-7390.64902696759,4864785.97992566,"3"
"37",-7366.7514369674,4864837.2146493,"2"
"38",-7384.39339999855,4864778.287,"3"
"39",-7383.26559999958,4864777.6614,"3"
"40",-7384.21130000055,4864776.0964,"3"
"41",-7391.08449999988,4864779.9097,"3"
"42",-7385.37280000001,4864776.7407,"3"
"43",-7377.65129999816,4864772.9413,"3"
"44",-7376.40100000054,4864773.8529,"3"
"45",-7374.29448290542,4864777.89718264,"3"
"46",-7369.63230000064,4864770.098,"3"
"47",-7370.61470000073,4864768.5529,"3"
"48",-7363.03830000013,4864766.4395,"3"
"49",-7369.41440000013,4864767.8871,"3"
"50",-7368.38610000163,4864769.4062,"3"
"51",-7363.99610000104,4864764.8808,"3"
"52",-7356.0102000013,4864762.5402,"3"
"53",-7361.54069999978,4864765.6086,"3"
"54",-7362.52650000155,4864764.0657,"3"
"55",-7363.2282320708,4864760.27746722,"3"
"56",-7356.97810000181,4864760.9873,"3"
"57",-7350.14699999988,4864757.2492,"3"
"58",-7352.93215686083,4864754.56512628,"3"
"59",-7354.71990000084,4864761.8244,"3"
"60",-7355.67049999908,4864760.262,"3"
"61",-7349.27959999815,4864758.806,"3"
"62",-7348.89820000157,4864756.556,"3"
"63",-7348.01289999858,4864758.1033,"3"
"64",-7327.49216509238,4864766.66853056,"3"
"65",-7331.40049999952,4864768.4786,"3"
"66",-7331.74799999967,4864767.318,"3"
"67",-7344.21139999852,4864750.94,"3"
"68",-7341.21499999985,4864756.3415,"3"
"69",-7337.39479999989,4864763.227,"3"
"70",-7340.52459999919,4864757.5859,"3"
"71",-7336.70039999858,4864764.4788,"3"
"72",-7337.23213905096,4864752.84884035,"3"
"73",-7344.96840000153,4864749.576,"3"
"74",-7344.96840000153,4864749.576,"3"
"75",-7339.15388717502,4864749.38469046,"3"
"76",-7407.37959999964,4864799.6941,"3"
"77",-7410.32899999991,4864800.0056,"3"
"78",-7408.28842738271,4864803.46471681,"3"
"79",-7408.28842738271,4864803.46471681,"3"
"80",-7347.10830000043,4864748.0456,"3"
"81",-7413.15480000153,4864789.2367,"3"
"82",-7413.92139999941,4864785.0334,"3"
"83",-7411.25070000067,4864792.7679,"3"
"84",-7413.95529999956,4864787.7943,"3"
"85",-7398.11080000177,4864785.8973,"3"
"86",-7406.06309999898,4864788.2193,"3"
"87",-7404.70549999923,4864787.4662,"3"
"88",-7405.10090000182,4864789.7755,"3"
"89",-7403.73600000143,4864789.0184,"3"
"90",-7398.55870603025,4864779.87839587,"3"
"91",-7396.89609999955,4864785.2235,"3"
"92",-7397.85979999974,4864783.6682,"3"
"93",-7399.10970000178,4864784.3617,"3"
"94",-7391.35909999907,4864782.1517,"3"
"95",-7390.64902696759,4864785.97992566,"3"
"96",-7415.16300353035,4864796.08448222,"3"
"97",-7392.35700000077,4864780.6156,"3"
"98",-7385.37280000001,4864776.7407,"3"
"99",-7384.39339999855,4864778.287,"3"
"100",-7390.09580000117,4864781.4506,"3"
"101",-7391.08449999988,4864779.9097,"3"
"102",-7395.10070769489,4864777.95992858,"3"
"103",-7384.21130000055,4864776.0964,"3"
"104",-7383.26559999958,4864777.6614,"3"
"105",-7374.29448290542,4864777.89718264,"3"
"106",-7376.40100000054,4864773.8529,"3"
"107",-7377.65129999816,4864772.9413,"3"
"108",-7369.41440000013,4864767.8871,"3"
"109",-7370.61470000073,4864768.5529,"3"
"110",-7368.38610000163,4864769.4062,"3"
"111",-7369.63230000064,4864770.098,"3"
"112",-7362.52650000155,4864764.0657,"3"
"113",-7363.2282320708,4864760.27746722,"3"
"114",-7363.99610000104,4864764.8808,"3"
"115",-7361.54069999978,4864765.6086,"3"
"116",-7354.71990000084,4864761.8244,"3"
"117",-7356.97810000181,4864760.9873,"3"
"118",-7356.0102000013,4864762.5402,"3"
"119",-7350.14699999988,4864757.2492,"3"
"120",-7355.67049999908,4864760.262,"3"
"121",-7348.01289999858,4864758.1033,"3"
"122",-7352.93215686083,4864754.56512628,"3"
"123",-7348.89820000157,4864756.556,"3"
"124",-7349.27959999815,4864758.806,"3"
"125",-7327.49216509238,4864766.66853056,"3"
"126",-7331.74799999967,4864767.318,"3"
"127",-7331.40049999952,4864768.4786,"3"
"128",-7340.52459999919,4864757.5859,"3"
"129",-7341.21499999985,4864756.3415,"3"
"130",-7336.70039999858,4864764.4788,"3"
