"","LONGITUDE","LATITUDE","FLOOR"
"1",-7541.26429999992,4864920.7782,"2"
"2",-7536.621199999,4864934.2252,"2"
"3",-7519.15239999816,4864949.5322,"2"
"4",-7524.57039999962,4864934.093,"2"
"5",-7533.89620000124,4864939.2583,"2"
"6",-7519.15239999816,4864949.5322,"2"
"7",-7527.45109999925,4864929.1464,"2"
"8",-7559.497299999,4864887.6504,"2"
"9",-7510.43717321754,4864949.25141671,"2"
"10",-7528.81640154868,4864959.43061222,"2"
"11",-7523.62819999829,4864951.9583,"2"
"12",-7571.09340000153,4864871.7184,"2"
"13",-7559.78200000152,4864871.3735,"2"
"14",-7562.18620000035,4864866.7851,"2"
"15",-7564.19629999995,4864887.1932,"2"
"16",-7555.13230000064,4864885.2515,"2"
"17",-7520.72450000048,4864892.4384,"2"
"18",-7521.86718644574,4864889.47709399,"2"
"19",-7537.33989999816,4864895.7854,"2"
"20",-7526.71092675626,4864892.80180848,"2"
"21",-7516.08879999816,4864889.8782,"2"
"22",-7512.6041636318,4864884.949544,"2"
"23",-7520.75580000132,4864891.4821,"2"
"24",-7516.84149999917,4864889.291,"2"
"25",-7502.44970000163,4864884.1761,"2"
"26",-7489.17749999836,4864899.9449,"2"
"27",-7482.45617602766,4864901.42957994,"2"
"28",-7491.03063394502,4864865.38593483,"2"
"29",-7501.22190000117,4864863.0729,"2"
"30",-7480.12409999967,4864894.9306,"2"
"31",-7506.73189999908,4864850.684,"2"
"32",-7502.82690000162,4864860.1746,"2"
"33",-7511.73669999838,4864841.6472,"2"
"34",-7516.47450000048,4864844.5972,"2"
"35",-7504.8814000003,4864865.5295,"2"
"36",-7474.65260000154,4864865.9525,"2"
"37",-7506.52930000052,4864862.5543,"2"
"38",-7511.52149999887,4864853.5402,"2"
"39",-7470.5186999999,4864863.6628,"2"
"40",-7469.73910000175,4864864.2915,"2"
"41",-7457.24210000038,4864853.9303,"2"
"42",-7480.43149175867,4864867.13092805,"2"
"43",-7474.58249999955,4864866.8723,"2"
"44",-7466.29110009223,4864859.33894889,"2"
"45",-7458.26419999823,4864852.0843,"2"
"46",-7461.52404925972,4864852.0464766,"2"
"47",-7536.621199999,4864934.2252,"2"
"48",-7536.59820000082,4864918.1172,"2"
"49",-7541.26429999992,4864920.7782,"2"
"50",-7533.89620000124,4864939.2583,"2"
"51",-7519.15239999816,4864949.5322,"2"
"52",-7524.57039999962,4864934.093,"2"
"53",-7527.45109999925,4864929.1464,"2"
"54",-7571.07107425854,4864890.45929348,"2"
"55",-7519.15239999816,4864949.5322,"2"
"56",-7510.43717321754,4864949.25141671,"2"
"57",-7528.81640154868,4864959.43061222,"2"
"58",-7523.62819999829,4864951.9583,"2"
"59",-7571.09340000153,4864871.7184,"2"
"60",-7562.18620000035,4864866.7851,"2"
"61",-7559.497299999,4864887.6504,"2"
"62",-7559.78200000152,4864871.3735,"2"
"63",-7564.19629999995,4864887.1932,"2"
"64",-7520.72450000048,4864892.4384,"2"
